,TransactionID,CustomerID,ProductID,Date,Quantity,Discount,Total_Amount,Category,Price,Name,Region,Signup_Date
41,10040,CUST-013,PROD-003,2023-01-02 15:00:00,3,0.2,Check_Receipt,Electronics,481.21,Customer_13,Midwest,2020-03-29
42,10041,CUST-068,PROD-008 ,2023-01-02 16:00:00,9,0.1,,,,Customer_68,Midwest,2021-04-18
43,10042,CUST-053,PROD-014,2023-01-02 17:00:00,5,0.05,1427.0,Electronics,300.42,Customer_53,North,2021-01-03
44,10043,CUST-030,PROD-014,2023-01-02 18:00:00,4,0.0,1201.68,Electronics,300.42,Customer_30,North,2020-07-26
45,10044,CUST-020,PROD-018,2023-01-02 19:00:00,1000,0.05,200887.0 EUR,Furniture,211.46,Customer_20,west,2020-05-17
46,10045,CUST-064,PROD-018,2023-01-02 20:00:00,4,0.0,845.84,Furniture,211.46,Customer_64,West,2021-03-21
47,10045,CUST-064,PROD-018,2023-01-02 20:00:00,4,0.0,845.84,Furniture,211.46,Customer_64,West,2021-03-21
48,10046,CUST-097,PROD-019,2023-01-02 21:00:00,9,0.0,633.33,Clothing,70.37,Customer_97,East,2021-11-07
49,10047,CUST-017,PROD-015,2023-01-02 22:00:00,9,0.2,779.11,Office,108.21,Customer_17,South,2020-04-26
50,10048,CUST-095,PROD-014,2023-01-02 23:00:00,-8,0.0,-2403.36,Electronics,300.42,Customer_95,South,2021-10-24
51,10049,CUST-031,PROD-005,2023-01-03 00:00:00,8,0.05,2146.85,Electronics,282.48,Customer_31,west,2020-08-02
52,10050,CUST-082,PROD-015,2023-01-03 01:00:00,3,0.0,Check_Receipt,Office,108.21,Customer_82,North,2021-07-25
53,10051,CUST-021,PROD-001,2023-01-03 02:00:00,7,0.0,$1064.07,Clothing,152.01,Customer_21,Midwest,2020-05-24
54,10052,CUST-059,PROD-001,2023-01-03 03:00:00,2,0.0,304.02,Clothing,152.01,Customer_59,East,2021-02-14
55,10053,CUST-002,PROD-005,2023-01-03 04:00:00,6,0.2,1355.9,Electronics,282.48,Customer_2,South,2020-01-12
56,10054,CUST-056,PROD-010,2023-01-03 05:00:00,1,0.05,279.84,Electronics,294.57,Customer_56,East,2021-01-24
57,10055,CUST-050,PROD-016,2023-01-03 06:00:00,1,0.0,50.92,Electronics,50.92,Customer_50,west,2020-12-13
58,10056,CUST-006,PROD-001,2023-01-03 07:00:00,7,0.05,1010.87,Clothing,152.01,Customer_6,North,2020-02-09
59,10057,CUST-040,PROD-014,2023-01-03 08:00:00,6,0.1,1622.27,Electronics,300.42,Customer_40,South,2020-10-04
60,10058,CUST-095,PROD-004,2023-01-03 09:00:00,8,0.05,2588.48,Office,340.59,Customer_95,South,2021-10-24
61,10059,CUST-038,PROD-011 ,2023-01-03 10:00:00,5,0.1,,,,Customer_38,Midwest,2020-09-20
62,10060,CUST-029,PROD-010,2023-01-03 11:00:00,5,0.2,$1178.28,Electronics,294.57,Customer_29,south,2020-07-19
63,10061,CUST-036,PROD-005,2023-01-03 12:00:00,7,0.1,1779.62,Electronics,282.48,Customer_36,East,2020-09-06
64,10062,CUST-084,PROD-004,2023-01-03 13:00:00,2,0.05,647.12,Office,340.59,Customer_84,South,2021-08-08
65,10062,CUST-084,PROD-004,2023-01-03 13:00:00,2,0.05,647.12,Office,340.59,Customer_84,South,2021-08-08
66,10063,CUST-055,PROD-008,2023-01-03 14:00:00,4,0.05,$1323.24,Office,348.22,Customer_55,Midwest,2021-01-17
67,10064,CUST-022,PROD-018,2023-01-03 15:00:00,3,0.2,507.5 EUR,Furniture,211.46,Customer_22,East,2020-05-31
68,10065,CUST-093,PROD-001,2023-01-03 16:00:00,6,0.05,866.46,Clothing,152.01,Customer_93,West,2021-10-10
69,10066,CUST-090,PROD-010,2023-01-03 17:00:00,6,0.0,1767.42,Electronics,294.57,Customer_90,Midwest,2021-09-19
70,10067,CUST-026,PROD-012,2023-01-03 18:00:00,7,0.05,430.72,Furniture,64.77,Customer_26,East,2020-06-28
71,10068,CUST-055,PROD-017,2023-01-03 19:00:00,1,0.0,$244.09,Furniture,244.09,Customer_55,Midwest,2021-01-17
72,10069,CUST-004,PROD-017,2023-01-03 20:00:00,6,0.05,1391.31,Furniture,244.09,Customer_4,Midwest,2020-01-26
73,10070,CUST-043,PROD-020,2023-01-03 21:00:00,4,0.2,Check_Receipt,Electronics,59.07,Customer_43,West,2020-10-25
74,10071,CUST-060,PROD-018,2023-01-03 22:00:00,5,0.05,1004.44,Furniture,211.46,Customer_60,west,2021-02-21
75,10072,CUST-034,PROD-002,2023-01-03 23:00:00,4,0.2,1582.43,Office,494.51,Customer_34,North,2020-08-23
76,10073,CUST-089,PROD-017,2023-01-04 00:00:00,1,0.05,231.89,Furniture,244.09,Customer_89,North,2021-09-12
77,10074,CUST-059,PROD-016,2023-01-04 01:00:00,6,0.0,305.52 EUR,Electronics,50.92,Customer_59,East,2021-02-14
78,10075,CUST-077,PROD-013,2023-01-04 02:00:00,7,0.05,400.46,Office,60.22,Customer_77,West,2021-06-20
79,10076,CUST-053,PROD-019,2023-01-04 03:00:00,7,0.1,443.33,Clothing,70.37,Customer_53,North,2021-01-03
80,10077,CUST-061,PROD-008,2023-01-04 04:00:00,4,0.05,1323.24,Office,348.22,Customer_61,south,2021-02-28
81,10078,CUST-038,PROD-003,2023-01-04 05:00:00,1,0.0,481.21,Electronics,481.21,Customer_38,Midwest,2020-09-20
82,10079,CUST-076,PROD-011,2023-01-04 06:00:00,6,0.1,$504.79,Electronics,93.48,Customer_76,East,2021-06-13
83,10080,CUST-098,PROD-004,2023-01-04 07:00:00,3,0.05,970.68 EUR,Office,340.59,Customer_98,midwest,2021-11-14
84,10081,CUST-078,PROD-007,2023-01-04 08:00:00,0,0.0,$0.0,Clothing,304.97,Customer_78,west,2021-06-27
85,10082,CUST-008,PROD-004,2023-01-04 09:00:00,-7,0.0,-2384.13,Office,340.59,Customer_8,West,2020-02-23
86,10083,CUST-097,PROD-009,2023-01-04 10:00:00,-5,0.2,-1173.84 EUR,Furniture,293.46,Customer_97,East,2021-11-07
87,10084,CUST-026,PROD-014,2023-01-04 11:00:00,9,0.1,Check_Receipt,Electronics,300.42,Customer_26,East,2020-06-28
88,10085,CUST-100,PROD-010,2023-01-04 12:00:00,1,0.0,294.57,Electronics,294.57,Customer_100,West,2021-11-28
89,10086,CUST-096,PROD-009 ,2023-01-04 13:00:00,5,0.05,,,,Customer_96,South,2021-10-31
90,10087,CUST-090,PROD-013,2023-01-04 14:00:00,7,0.1,Check_Receipt,Office,60.22,Customer_90,Midwest,2021-09-19
91,10088,CUST-091,PROD-020,2023-01-04 15:00:00,1,0.1,53.16,Electronics,59.07,Customer_91,South,2021-09-26
92,10089,CUST-022,PROD-012,2023-01-04 16:00:00,4,0.1,233.17,Furniture,64.77,Customer_22,East,2020-05-31
93,10090,CUST-002,PROD-011,2023-01-04 17:00:00,1,0.1,84.13,Electronics,93.48,Customer_2,South,2020-01-12
94,10091,CUST-064,PROD-015,2023-01-04 18:00:00,3,0.05,308.4,Office,108.21,Customer_64,West,2021-03-21
95,10091,CUST-064,PROD-015,2023-01-04 18:00:00,3,0.05,308.4,Office,108.21,Customer_64,West,2021-03-21
96,10092,CUST-999,PROD-002,2023-01-04 19:00:00,3,0.1,1335.18,Office,494.51,,,
97,10093,CUST-004,PROD-006,2023-01-04 20:00:00,6,0.05,2404.26,Electronics,421.8,Customer_4,Midwest,2020-01-26
98,10094,CUST-100,PROD-007,2023-01-04 21:00:00,1,0.05,$289.72,Clothing,304.97,Customer_100,West,2021-11-28
99,10095,CUST-005,PROD-011,2023-01-04 22:00:00,2,0.2,149.57,Electronics,93.48,Customer_5,West,2020-02-02
100,10096,CUST-003,PROD-014,2023-01-04 23:00:00,3,0.1,$811.13,Electronics,300.42,Customer_3,east,2020-01-19
101,10097,CUST-067,PROD-020,2023-01-05 00:00:00,7,0.0,413.49,Electronics,59.07,Customer_67,Midwest,2021-04-11
102,10098,CUST-059,PROD-007,2023-01-05 01:00:00,2,0.0,609.94,Clothing,304.97,Customer_59,East,2021-02-14
103,10099,CUST-049,PROD-002,2023-01-05 02:00:00,9,0.05,4228.06,Office,494.51,Customer_49,West,2020-12-06
104,10100,CUST-039,PROD-010,2023-01-05 03:00:00,3,0.05,839.52,Electronics,294.57,Customer_39,North,2020-09-27
105,10101,CUST-017,PROD-011,2023-01-05 04:00:00,4,0.1,336.53,Electronics,93.48,Customer_17,South,2020-04-26
106,10102,CUST-038,PROD-013,2023-01-05 05:00:00,8,0.0,481.76,Office,60.22,Customer_38,Midwest,2020-09-20
107,10103,CUST-015,PROD-009,2023-01-05 06:00:00,9,0.2,2112.91,Furniture,293.46,Customer_15,North,2020-04-12
108,10104,CUST-066,PROD-010,2023-01-05 07:00:00,6,0.2,Check_Receipt,Electronics,294.57,Customer_66,West,2021-04-04
109,10105,CUST-010,PROD-015,2023-01-05 08:00:00,3,0.2,$259.7 EUR,Office,108.21,Customer_10,north,2020-03-08
110,10106,CUST-007,PROD-011,2023-01-05 09:00:00,4,0.0,373.92,Electronics,93.48,Customer_7,west,2020-02-16
111,10107,CUST-062,PROD-017,2023-01-05 10:00:00,2,0.05,463.77,Furniture,244.09,Customer_62,West,2021-03-07
112,10108,CUST-035,PROD-015,2023-01-05 11:00:00,8,0.05,822.4,Office,108.21,Customer_35,Midwest,2020-08-30
113,10109,CUST-070,PROD-010,2023-01-05 12:00:00,7,0.05,1958.89,Electronics,294.57,Customer_70,east,2021-05-02
114,10110,CUST-029,PROD-012,2023-01-05 13:00:00,4,0.05,246.13,Furniture,64.77,Customer_29,south,2020-07-19
115,10111,CUST-055,PROD-016,2023-01-05 14:00:00,3,0.05,$145.12 EUR,Electronics,50.92,Customer_55,Midwest,2021-01-17
116,10112,CUST-053,PROD-001,2023-01-05 15:00:00,1,0.1,136.81,Clothing,152.01,Customer_53,North,2021-01-03
117,10113,CUST-028,PROD-011,2023-01-05 16:00:00,1,0.05,88.81,Electronics,93.48,Customer_28,South,2020-07-12
118,10114,CUST-004,PROD-002,2023-01-05 17:00:00,3,0.05,$1409.35,Office,494.51,Customer_4,Midwest,2020-01-26
119,10115,CUST-100,PROD-005,2023-01-05 18:00:00,1,0.0,282.48,Electronics,282.48,Customer_100,West,2021-11-28
120,10116,CUST-056,PROD-020,2023-01-05 19:00:00,2,0.2,94.51,Electronics,59.07,Customer_56,East,2021-01-24
121,10117,CUST-035,PROD-016,,9,0.0,$458.28 EUR,Electronics,50.92,Customer_35,Midwest,2020-08-30
122,10118,CUST-100,PROD-010,2023-01-05 21:00:00,3,0.05,839.52,Electronics,294.57,Customer_100,West,2021-11-28
123,10119,CUST-005,PROD-020,2023-01-05 22:00:00,0,0.05,0.0,Electronics,59.07,Customer_5,West,2020-02-02
124,10120,CUST-085,PROD-001,2023-01-05 23:00:00,2,0.1,$273.62,Clothing,152.01,Customer_85,west,2021-08-15
125,10121,CUST-085,PROD-017,2023-01-06 00:00:00,3,0.1,$659.04,Furniture,244.09,Customer_85,west,2021-08-15
126,10122,CUST-083,PROD-017,2023-01-06 01:00:00,3,0.2,585.82,Furniture,244.09,Customer_83,Midwest,2021-08-01
127,10123,CUST-059,PROD-002,2023-01-06 02:00:00,4,0.2,$1582.43,Office,494.51,Customer_59,East,2021-02-14
128,10124,CUST-026,PROD-003,2023-01-06 03:00:00,5,0.2,1924.84,Electronics,481.21,Customer_26,East,2020-06-28
129,10125,CUST-029,PROD-002,2023-01-06 04:00:00,4,0.1,Check_Receipt,Office,494.51,Customer_29,south,2020-07-19
130,10126,CUST-999,PROD-003,2023-01-06 05:00:00,-5,0.05,$-2285.75,Electronics,481.21,,,
131,10127,CUST-092,PROD-011,2023-01-06 06:00:00,6,0.1,504.79,Electronics,93.48,Customer_92,Midwest,2021-10-03
132,10128,CUST-068,PROD-020,2023-01-06 07:00:00,4,0.2,Check_Receipt,Electronics,59.07,Customer_68,Midwest,2021-04-18
133,10129,CUST-089,PROD-003,2023-01-06 08:00:00,3,0.2,1154.9,Electronics,481.21,Customer_89,North,2021-09-12
134,10130,CUST-064,PROD-006,2033-01-03 09:00:00,4,0.05,1602.84,Electronics,421.8,Customer_64,West,2021-03-21
135,10130,CUST-064,PROD-006,2033-01-03 09:00:00,4,0.05,1602.84,Electronics,421.8,Customer_64,West,2021-03-21
136,10131,CUST-025,PROD-001,2023-01-06 10:00:00,2,0.1,273.62,Clothing,152.01,Customer_25,North,2020-06-21
137,10131,CUST-025,PROD-001,2023-01-06 10:00:00,2,0.1,273.62,Clothing,152.01,Customer_25,North,2020-06-21
138,10132,CUST-025,PROD-013,2023-01-06 11:00:00,3,0.1,162.59,Office,60.22,Customer_25,North,2020-06-21
139,10132,CUST-025,PROD-013,2023-01-06 11:00:00,3,0.1,162.59,Office,60.22,Customer_25,North,2020-06-21
140,10133,CUST-080,PROD-019,2023-01-06 12:00:00,3,0.0,211.11,Clothing,70.37,Customer_80,West,2021-07-11
141,10134,CUST-093,PROD-009,2023-01-06 13:00:00,3,0.0,880.38,Furniture,293.46,Customer_93,West,2021-10-10
142,10135,CUST-059,PROD-006,2023-01-06 14:00:00,5,0.1,Check_Receipt,Electronics,421.8,Customer_59,East,2021-02-14
143,10136,CUST-071,PROD-013,2023-01-06 15:00:00,5,0.2,240.88,Office,60.22,Customer_71,midwest,2021-05-09
144,10137,CUST-065,PROD-008,2023-01-06 16:00:00,2,0.2,557.15 EUR,Office,348.22,Customer_65,South,2021-03-28
145,10138,CUST-035,PROD-001,2023-01-06 17:00:00,8,0.0,1216.08,Clothing,152.01,Customer_35,Midwest,2020-08-30
146,10139,CUST-015,PROD-016,2023-01-06 18:00:00,8,0.05,386.99,Electronics,50.92,Customer_15,North,2020-04-12
147,10140,CUST-073,PROD-013,2023-01-06 19:00:00,8,0.05,457.67,Office,60.22,Customer_73,West,2021-05-23
148,10140,CUST-073,PROD-013,2023-01-06 19:00:00,8,0.05,457.67,Office,60.22,Customer_73,West,2021-05-23
149,10141,CUST-058,PROD-010,2023-01-06 20:00:00,3,0.1,795.34 EUR,Electronics,294.57,Customer_58,Midwest,2021-02-07
150,10142,CUST-074,PROD-012,2023-01-06 21:00:00,3,0.0,194.31,Furniture,64.77,Customer_74,Midwest,2021-05-30
151,10143,CUST-100,PROD-019,2023-01-06 22:00:00,8,0.0,562.96,Clothing,70.37,Customer_100,West,2021-11-28
152,10144,CUST-053,PROD-003,2023-01-06 23:00:00,2,0.0,$962.42,Electronics,481.21,Customer_53,North,2021-01-03
153,10145,CUST-082,PROD-004,2023-01-07 00:00:00,8,0.2,2179.78,Office,340.59,Customer_82,North,2021-07-25
154,10146,CUST-056,PROD-014,2023-01-07 01:00:00,9,0.05,2568.59,Electronics,300.42,Customer_56,East,2021-01-24
155,10147,CUST-068,PROD-015,2033-01-04 02:00:00,8,0.0,865.68,Office,108.21,Customer_68,Midwest,2021-04-18
156,10148,CUST-999,PROD-001,2023-01-07 03:00:00,9,0.2,1094.47 EUR,Clothing,152.01,,,
157,10149,CUST-098,PROD-012,2023-01-07 04:00:00,2,0.0,129.54,Furniture,64.77,Customer_98,midwest,2021-11-14
158,10150,CUST-037,PROD-019,2023-01-07 05:00:00,1,0.0,70.37,Clothing,70.37,Customer_37,East,2020-09-13
159,10151,CUST-046,PROD-005,2023-01-07 06:00:00,1,0.05,268.36,Electronics,282.48,Customer_46,West,2020-11-15
160,10152,CUST-043,PROD-011,2023-01-07 07:00:00,1,0.2,74.78,Electronics,93.48,Customer_43,West,2020-10-25
161,10153,CUST-047,PROD-017,2023-01-07 08:00:00,8,0.1,1757.45,Furniture,244.09,Customer_47,Midwest,2020-11-22
162,10154,CUST-019,PROD-003,2023-01-07 09:00:00,1,0.2,384.97,Electronics,481.21,Customer_19,West,2020-05-10
163,10155,CUST-091,PROD-019,2023-01-07 10:00:00,-8,0.1,$-506.66 EUR,Clothing,70.37,Customer_91,South,2021-09-26
164,10156,CUST-067,PROD-011,2023-01-07 11:00:00,3,0.05,266.42,Electronics,93.48,Customer_67,Midwest,2021-04-11
165,10157,CUST-055,PROD-013,2023-01-07 12:00:00,8,0.05,457.67,Office,60.22,Customer_55,Midwest,2021-01-17
166,10158,CUST-096,PROD-018,2023-01-07 13:00:00,6,0.05,1205.32,Furniture,211.46,Customer_96,South,2021-10-31
167,10159,CUST-073,PROD-004,2023-01-07 14:00:00,3,0.05,970.68,Office,340.59,Customer_73,West,2021-05-23
168,10159,CUST-073,PROD-004,2023-01-07 14:00:00,3,0.05,970.68,Office,340.59,Customer_73,West,2021-05-23
169,10160,CUST-097,PROD-016,2023-01-07 15:00:00,3,0.05,145.12,Electronics,50.92,Customer_97,East,2021-11-07
170,10161,CUST-085,PROD-010,2023-01-07 16:00:00,1,0.0,294.57,Electronics,294.57,Customer_85,west,2021-08-15
171,10162,CUST-004,PROD-011,2023-01-07 17:00:00,6,0.1,504.79,Electronics,93.48,Customer_4,Midwest,2020-01-26
172,10163,CUST-046,PROD-014,2023-01-07 18:00:00,7,0.05,1997.79,Electronics,300.42,Customer_46,West,2020-11-15
173,10164,CUST-037,PROD-009,2023-01-07 19:00:00,8,0.0,2347.68,Furniture,293.46,Customer_37,East,2020-09-13
174,10165,CUST-031,PROD-008,2023-01-07 20:00:00,4,0.1,1253.59,Office,348.22,Customer_31,west,2020-08-02
175,10166,CUST-039,PROD-005,2023-01-07 21:00:00,4,0.1,1016.93,Electronics,282.48,Customer_39,North,2020-09-27
176,10167,CUST-090,PROD-009,Invalid_Date,5,0.1,1320.57,Furniture,293.46,Customer_90,Midwest,2021-09-19
177,10168,CUST-038,PROD-013,2023-01-07 23:00:00,4,0.2,192.7,Office,60.22,Customer_38,Midwest,2020-09-20
178,10169,CUST-062,PROD-013,2023-01-08 00:00:00,6,0.0,361.32,Office,60.22,Customer_62,West,2021-03-07
179,10170,CUST-049,PROD-008,2023-01-08 01:00:00,6,0.2,$1671.46,Office,348.22,Customer_49,West,2020-12-06
180,10171,CUST-086,PROD-014,2023-01-08 02:00:00,5,0.2,1201.68,Electronics,300.42,Customer_86,Midwest,2021-08-22
181,10172,CUST-999,PROD-011,2023-01-08 03:00:00,4,0.0,$373.92 EUR,Electronics,93.48,,,
182,10173,CUST-020,PROD-007,2023-01-08 04:00:00,7,0.2,$1707.83,Clothing,304.97,Customer_20,west,2020-05-17
183,10174,CUST-055,PROD-013,2023-01-08 05:00:00,8,0.2,385.41,Office,60.22,Customer_55,Midwest,2021-01-17
184,10175,CUST-042,PROD-018,2023-01-08 06:00:00,4,0.1,761.26,Furniture,211.46,Customer_42,East,2020-10-18
185,10176,CUST-094,PROD-010,2023-01-08 07:00:00,6,0.2,1413.94,Electronics,294.57,Customer_94,east,2021-10-17
186,10177,CUST-002,PROD-019,2023-01-08 08:00:00,8,0.1,506.66 EUR,Clothing,70.37,Customer_2,South,2020-01-12
187,10178,CUST-011,PROD-011,2023-01-08 09:00:00,7,0.1,588.92,Electronics,93.48,Customer_11,South,2020-03-15
188,10179,CUST-098,PROD-012,2023-01-08 10:00:00,3,0.1,174.88,Furniture,64.77,Customer_98,midwest,2021-11-14
189,10180,CUST-022,PROD-013,2023-01-08 11:00:00,6,0.1,325.19,Office,60.22,Customer_22,East,2020-05-31
190,10181,CUST-037,PROD-004,2023-01-08 12:00:00,5,0.1,Check_Receipt,Office,340.59,Customer_37,East,2020-09-13
191,10182,CUST-014,PROD-016,2023-01-08 13:00:00,1,0.1,45.83,Electronics,50.92,Customer_14,midwest,2020-04-05
192,10183,CUST-095,PROD-002,2023-01-08 14:00:00,9,0.2,3560.47,Office,494.51,Customer_95,South,2021-10-24
193,10184,CUST-006,PROD-013,2023-01-08 15:00:00,8,0.1,433.58,Office,60.22,Customer_6,North,2020-02-09
194,10185,CUST-091,PROD-019,2023-01-08 16:00:00,2,0.0,140.74,Clothing,70.37,Customer_91,South,2021-09-26
195,10186,CUST-061,PROD-018,2023-01-08 17:00:00,6,0.2,1015.01,Furniture,211.46,Customer_61,south,2021-02-28
196,10187,CUST-010,PROD-016,2023-01-08 18:00:00,4,0.1,183.31,Electronics,50.92,Customer_10,north,2020-03-08
197,10188,CUST-023,PROD-004,2023-01-08 19:00:00,4,0.0,$1362.36,Office,340.59,Customer_23,midwest,2020-06-07
198,10189,CUST-073,PROD-009,2023-01-08 20:00:00,7,0.2,Check_Receipt,Furniture,293.46,Customer_73,West,2021-05-23
199,10189,CUST-073,PROD-009,2023-01-08 20:00:00,7,0.2,Check_Receipt,Furniture,293.46,Customer_73,West,2021-05-23
200,10190,CUST-025,PROD-017,2023-01-08 21:00:00,6,0.2,1171.63,Furniture,244.09,Customer_25,North,2020-06-21
201,10190,CUST-025,PROD-017,2023-01-08 21:00:00,6,0.2,1171.63,Furniture,244.09,Customer_25,North,2020-06-21
202,10191,CUST-065,PROD-008,2023-01-08 22:00:00,1,0.0,348.22,Office,348.22,Customer_65,South,2021-03-28
203,10192,CUST-019,PROD-012,2023-01-08 23:00:00,7,0.0,$453.39,Furniture,64.77,Customer_19,West,2020-05-10
204,10193,CUST-080,PROD-012,2023-01-09 00:00:00,4,0.05,246.13,Furniture,64.77,Customer_80,West,2021-07-11
205,10194,CUST-080,PROD-008,2023-01-09 01:00:00,2,0.0,696.44,Office,348.22,Customer_80,West,2021-07-11
206,10195,CUST-086,PROD-004,2023-01-09 02:00:00,3,0.05,$970.68,Office,340.59,Customer_86,Midwest,2021-08-22
207,10196,CUST-081,PROD-004,2023-01-09 03:00:00,6,0.1,1839.19,Office,340.59,Customer_81,west,2021-07-18
208,10197,CUST-100,PROD-013,2023-01-09 04:00:00,2,0.0,120.44,Office,60.22,Customer_100,West,2021-11-28
209,10198,CUST-084,PROD-017,2023-01-09 05:00:00,2,0.0,$488.18,Furniture,244.09,Customer_84,South,2021-08-08
210,10198,CUST-084,PROD-017,2023-01-09 05:00:00,2,0.0,$488.18,Furniture,244.09,Customer_84,South,2021-08-08
211,10199,CUST-095,PROD-011 ,2023-01-09 06:00:00,2,0.1,,,,Customer_95,South,2021-10-24
212,10200,CUST-030,PROD-009,2023-01-09 07:00:00,-1,0.1,-264.11,Furniture,293.46,Customer_30,North,2020-07-26
213,10201,CUST-006,PROD-012,2023-01-09 08:00:00,4,0.0,259.08,Furniture,64.77,Customer_6,North,2020-02-09
214,10202,CUST-071,PROD-009,2023-01-09 09:00:00,3,0.05,836.36,Furniture,293.46,Customer_71,midwest,2021-05-09
